,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,2143,21.3112459169,0.694546617624
2,Los Angeles Unified,64733,1937424,"School of Communications, New",621,7.65861513688,0.870950978694
3,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,1199,18.1876563803,0.808184727938
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",37,11.0,0.808108640031
5,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,186,33.811827957,0.76065511572
6,Whittier Union High,65128,1931302,California High,2629,37.3472803347,0.678964637258
7,William S. Hart Union High,65136,102459,Golden Valley High,914,27.8161925602,0.493247068338
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",11,0.0,0.83513562224
9,Lynwood Unified,64774,1935428,Vista High (Continuation),61,1.91803278689,0.818173573955
10,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,3073,35.165961601,0.884973040556
11,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,28,10.9285714286,0.816042024447
12,El Monte Union High,64519,1937481,Rosemead High,1071,30.7478991597,0.809498750164
13,William S. Hart Union High,65136,102475,West Ranch High,287,34.9163763066,0.56037496028
14,Los Angeles Unified,64733,110668,Frida Kahlo High,134,17.7985074627,0.922107850668
15,West Covina Unified,65094,1939537,West Covina High,1790,36.074301676,0.722227984649
16,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,54,12.9444444444,0.806232062321
17,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,57,12.2280701754,0.706802053886
18,Los Angeles Unified,64733,1931393,Highland Park Continuation,45,13.4666666667,0.820382855174
19,Torrance Unified,65060,1939602,West High,140,42.75,0.643809331448
20,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,28,14.7142857143,0.658119126159
21,Rowland Unified,73452,1937564,Rowland (John A.) High,862,35.1554524362,0.58049122807
22,Los Angeles Unified,64733,1935519,Manual Arts Senior High,3089,13.287795403,0.87685560054
23,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",110,2.0,0.66717603912
24,Los Angeles Unified,64733,114850,West Adams Preparatory High,2565,17.8409356725,0.904467987103
25,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,35,3.25714285714,0.750625360785
26,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,22,57.0,0.619047619048
27,Los Angeles Unified,64733,1931450,Jack London Continuation,65,12.3538461538,0.743107540624
28,Bonita Unified,64329,1937598,Chaparral High (Continuation),53,3.43396226415,0.532519190509
29,Los Angeles Unified,64733,1931468,Metropolitan Continuation,94,20.4255319149,0.846559206448
30,San Gabriel Unified,75291,1995810,Gabrielino High,441,29.2743764172,0.733281579239
31,Los Angeles Unified,64733,1935568,John Marshall Senior High,2017,25.9424888448,0.690659481653
32,Los Angeles Unified,64733,1931476,Canoga Park Senior High,1831,25.7870016384,0.744038635678
33,Los Angeles Unified,64733,1937622,San Fernando Senior High,3424,24.6813668224,0.823900205693
34,Glendale Unified,64568,1933530,Glendale High,985,33.5654822335,0.649555830428
35,Los Angeles Unified,64733,1931484,Mission Continuation,56,5.71428571429,0.823900205693
36,Los Angeles Unified,64733,112862,Student Empowerment Academy,432,25.4166666667,0.922107850668
37,Long Beach Unified,64725,125153,Beach High-ILP,190,3.96842105263,0.575231756596
38,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,98,21.5816326531,0.294797687861
39,William S. Hart Union High,65136,1931492,Canyon High,615,29.6975609756,0.579585410653
40,Los Angeles Unified,64733,112870,Los Angeles School of Global,462,18.1255411255,0.81433061866
41,Los Angeles Unified,64733,1931500,Owensmouth Continuation,72,11.2222222222,0.744038635678
42,Whittier Union High,65128,1939701,Whittier High,2316,38.6303972366,0.78215661104
43,Bellflower Unified,64303,1935618,Mayfair High,837,40.5340501792,0.728351881293
44,Los Angeles Unified,64733,1931526,Carson Senior High,1367,25.9495245062,0.776502242152
45,Los Angeles Unified,64733,121095,Ambassador School of Global,530,19.2698113208,0.823566084788
46,San Francisco Unified,68478,102103,Jordan (June) School for Equi,128,4.734375,0.857183118439
47,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,86,5.70930232558,0.765187419216
48,San Francisco Unified,68478,3830031,Wells (Ida B.) High,49,5.87755102041,0.910737683438
49,Glendora Unified,64576,1933597,Glendora High,280,37.4071428571,0.519502353732
50,Alhambra Unified,75713,1937697,San Gabriel High,1074,37.2132216015,0.733281579239
51,Los Angeles Unified,64733,1931559,Stoney Point Continuation,42,7.2380952381,0.545961333175
52,Upper Lake Union High,64071,1737006,Upper Lake High,42,28.7619047619,0.459459459459
53,Compton Unified,73437,1931567,Centennial High,964,9.14937759336,0.843711153803
54,San Francisco Unified,68478,3830064,"Downtown High, Cont.",56,0.0,0.938828162129
55,El Monte Union High,64519,1932680,Mountain View High,2127,24.4997649271,0.779574617683
56,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",51,2.0,0.598051157125
57,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,1964,17.9572301426,0.868001251173
58,Bonita Unified,64329,1937739,San Dimas High,267,33.6779026217,0.532519190509
59,Los Angeles Unified,64733,117069,Helen Bernstein High,1197,12.6215538847,0.869295923769
60,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,1806,28.8477297896,0.66824754731
61,Los Angeles Unified,64733,117077,Academic Performance Excellenc,328,14.8597560976,0.869295923769
