,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,337,26.9584569733,0.364948453608
1,Holtville Unified,1335306,Holtville High,31,70.8387096774,0.611428571429
2,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,110,47.0545454545,0.682593856655
3,Burbank Unified,1933332,"Monterey High, Cont.",38,30.0,0.808108640031
4,Shasta Union High,4530200,Pioneer Continuation High,49,4.22448979592,0.364373962751
5,Shasta Union High,4530218,Freedom High,13,15.0,0.364373962751
6,Murrieta Valley Unified,118794,Murrieta Mesa High,747,72.875502008,0.579817419196
7,East Side Union High,4333639,Lick (James) High,56,44.7142857143,0.790654620853
8,Anaheim Union High,3030616,Oxford Academy,56,100.0,0.549914471433
9,Muroc Joint Unified,1531987,Desert Junior-Senior High,157,63.7515923567,0.25
10,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,238,85.7521008403,0.818914515991
11,Corona-Norco Unified,3334232,Norco High,765,65.5490196078,0.531968867109
12,Simi Valley Unified,5636188,Simi Valley High,1038,66.0568400771,0.536521051244
13,Lucia Mar Unified,4030557,Arroyo Grande High,976,67.0286885246,0.530927105449
14,Tulare Joint Union High,5435409,Tulare Union High,343,70.084548105,0.509095204347
15,Berkeley Unified,131177,Berkeley High,704,83.7144886364,0.956780194419
16,Modesto City High,5030010,Beyer (Fred C.) High,560,62.8392857143,0.508668368432
17,Elk Grove Unified,3432572,Elk Grove High,662,65.3625377644,0.53358802929
18,Placentia-Yorba Linda Unified,6119556,Parkview,26,61.1538461538,0.502359321079
19,Shasta Union High,4530309,North State Independence High,94,27.585106383,0.364373962751
20,Azusa Unified,1933449,Gladstone High,21,38.0,0.645367412141
21,Shasta County Office of Education,4530317,Oasis Community,13,9.0,0.364373962751
22,Escalon Unified,3932308,Escalon High,342,58.7631578947,0.291381970465
23,Alvord Unified,3334299,Norte Vista High,107,51.6168224299,0.643411521214
24,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",39,13.0,0.667078062326
25,Plumas Unified,3236007,Quincy Junior/Senior High,126,73.9365079365,0.541373534338
26,Davis Joint Unified,106674,Frances Ellen Watkins Harper,138,92.0,0.543718592965
27,Stanislaus County Office of Education,5030085,John B. Allard,85,4.58823529412,0.621428571429
28,San Diego Unified,3735750,Point Loma High,693,80.6046176046,0.703564138797
29,Nevada Joint Union High,2935500,Nevada Union High,1214,64.2257001647,0.493476430976
30,Glendale Unified,1933530,Glendale High,966,53.4937888199,0.63705281624
31,Hemet Unified,106716,Hamilton High,145,59.1379310345,0.306974190005
32,Hilmar Unified,2432409,Hilmar High,292,60.7568493151,0.600954787981
33,San Francisco Unified,3834082,Mission High,55,59.7090909091,0.937243609972
34,San Jose Unified,4333795,Lincoln (Abraham) High,223,80.932735426,0.800207756233
35,Modesto City High,5030135,Johansen (Peter) High,294,58.9829931973,0.420275590551
36,Riverside Unified,3334406,North (John W.) High,235,69.9914893617,0.756943737918
37,Ceres Unified,5030168,Endeavor Alternative,16,38.0,0.549878345499
38,Glendora Unified,1933597,Glendora High,879,73.6416382253,0.621226874391
39,Poway Unified,3735842,Abraxas Continuation High,29,7.0,0.473180832183
40,Atascadero Unified,4030755,Atascadero High,737,69.3934871099,0.457103558943
41,Upper Lake Union High,1737006,Upper Lake High,129,37.1395348837,0.511682242991
42,Oakdale Joint Unified,5030192,Valley Oak Junior and Senior,17,6.0,0.381468376824
43,Norwalk-La Mirada Unified,1934728,La Mirada High,403,68.2630272953,0.64513064133
44,Ceres Unified,5030200,"Argus High, Cont.",33,9.21212121212,0.549878345499
45,Fresno Unified,1032507,Fresno High,185,51.7405405405,0.571761688236
46,South San Francisco Unified,4137279,South San Francisco High,83,60.5903614458,0.823785517874
47,Upland Unified,3637584,Upland High,847,69.4781582054,0.607257595692
48,Stanislaus County Office of Education,5030226,Petersen Alternative Center f,28,10.7142857143,0.522259748235
49,Chico Unified,431502,Fair View High (Continuation),76,14.2763157895,0.603331616005
50,Kern Union High,1533330,Highland High,283,60.1943462898,1.0
51,Waterford Unified,5030259,Waterford High,156,64.4294871795,0.57982593808
52,Mammoth Unified,2630010,Mammoth High,90,76.6444444444,0.248520710059
53,Morgan Hill Unified,4333951,Live Oak High,390,69.3820512821,0.638397924437
54,Kern Union High,1532290,East Bakersfield High,114,61.0,1.0
55,San Juan Unified,3432838,Encina Preparatory High,90,26.7333333333,0.742994588094
56,Turlock Unified,5030283,Pitman (John H.) High,649,64.3497688752,0.446497172703
57,Ramona City Unified,3735958,"Montecito High, Cont.",19,16.0,0.334969170756
58,Chaffey Joint Union High,3637659,"Valley View High, Cont.",29,17.0,0.736719598614
59,Los Molinos Unified,5235106,Los Molinos High,58,53.5172413793,0.269267364415
60,Sonora Union High,5530019,"Cassina (Dario) High, Cont.",28,21.0,0.426848691695
61,Ramona City Unified,3735974,Ramona High,831,58.963898917,0.334969170756
62,Summerville Union High,5530027,"Tuolumne High, Cont.",11,9.0,0.405610753945
63,Sonora Union High,5530043,Bird High,48,33.5833333333,0.426848691695
64,Galt Joint Union High,3432903,Estrellita Continuation High,18,11.0,0.456262332049
65,Santa Barbara Unified,4235727,Santa Barbara Senior High,614,86.5016286645,0.809927155684
66,Santa Cruz City High,4432340,Harbor High,322,75.7204968944,0.839420452721
67,Conejo Valley Unified,123349,Century Academy,33,75.3636363636,0.573676997215
68,Colusa Unified,631259,Colusa High,80,64.9125,0.203947368421
69,Big Oak Flat-Groveland Unified,5530076,Tioga High,42,56.7857142857,0.588235294118
70,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,464,46.3168103448,0.783907607139
71,Stockton Unified,3932654,Franklin High,95,54.7684210526,0.597883597884
72,Los Angeles Unified,107003,Northridge Academy High,138,69.652173913,0.696428571429
73,Mt. Diablo Unified,737809,Ygnacio Valley High,162,57.4135802469,0.705331138407
74,San Diego Unified,107029,San Diego International Studi,170,95.3764705882,0.720540187323
75,Los Angeles Unified,1933852,Alexander Hamilton Senior Hig,393,83.3740458015,0.825423728814
76,Mountain View-Los Altos Union High,4334116,Los Altos High,553,91.0650994575,0.806189292975
77,Jefferson Union High,4137535,Terra Nova High,373,69.7319034853,0.814388961892
78,Merced Union High,2433605,Livingston High,29,62.1379310345,0.623511582594
79,San Diego Unified,107078,Kearny Digital Media & Design,43,86.3023255814,0.625410480551
80,Anderson Union High,4530762,North Valley High,35,14.4857142857,0.253796337651
81,Vacaville Unified,4833869,Country High,18,6.0,0.599636693915
82,San Diego Unified,107086,Kearny SCT,22,73.0,0.625410480551
83,San Diego Unified,107094,Kearny International Business,13,85.0,0.625410480551
84,Imperial Unified,1335900,Imperial High,143,78.7202797203,0.617226890756
85,Del Norte County Unified,836205,Sunset High,40,9.975,0.335117773019
86,Oroville Union High,434803,Las Plumas High,426,50.5633802817,0.321538461538
87,Anderson Union High,4530804,Anderson High,260,52.3923076923,0.253796337651
88,Jefferson Union High,4137592,Thornton High,12,0.0,0.809661649299
89,Centinela Valley Union High,1933951,Hawthorne High,13,54.0,0.870829997331
90,West Sonoma County Union High,4930327,Laguna High,40,22.5,0.778652874104
91,Newport-Mesa Unified,3031697,Corona del Mar High,971,78.5242018538,0.475611111111
92,El Dorado Union High,934554,Independence Continuation,57,19.7368421053,0.469911783239
93,California School for the Deaf-Fremont (,131763,California School for the Dea,11,27.0,0.720711111111
94,Western Placer Unified,3130036,"Phoenix High, Cont.",11,9.0,0.417672886937
95,Kern Union High,1532605,Foothill High,148,45.2297297297,1.0
96,Fresno Unified,1032911,Herbert Hoover High,219,55.7808219178,0.563651137595
97,Los Angeles Unified,1934033,Hollywood Senior High,164,53.737804878,0.874028609612
98,San Diego Unified,107219,San Diego Science and Technol,14,71.0,0.720540187323
99,Chowchilla Union High,2032357,Chowchilla High,243,55.037037037,0.42074776198
100,Washington Unified,5735154,River City Senior High,506,51.4367588933,0.782843431314
101,Hesperia Unified,115444,Canyon Ridge High,33,17.9090909091,0.31951951952
102,Victor Valley Union High,3638012,Victor Valley High,260,48.4038461538,0.4636347359
103,Santa Maria Joint Union High,4236030,Santa Maria High,42,45.380952381,0.488544474394
104,Willits Unified,2335487,Willits High,192,45.4947916667,0.633054892601
105,Folsom-Cordova Unified,3433216,Folsom High,949,76.5342465753,0.480873776811
106,Glendale Unified,1934082,Herbert Hoover High,795,49.2440251572,0.671666551462
107,Roseville Joint Union High,3130119,"Independence High, Alt.",74,51.5675675676,0.463985905275
108,Placer Union High,3130135,Maidu High Independent Study,59,47.4745762712,0.363404255319
109,Los Gatos-Saratoga Joint Union High,4334371,Los Gatos High,975,82.3117948718,0.707772148771
110,Rocklin Unified,3130150,Rocklin High,947,83.4466737064,0.448567708333
111,Tehachapi Unified,1536135,Tehachapi High,627,67.4098883573,0.270591487009
112,Newport-Mesa Unified,3031853,Costa Mesa High,173,67.4393063584,0.475611111111
113,Twin Rivers Unified,3433265,Foothill High,279,54.2365591398,0.551084990958
114,Jefferson Union High,4137790,Westmoor High,59,42.5423728814,0.771521976026
115,Roseville Joint Union High,3130176,Woodcreek High,1085,75.6147465438,0.52018383761
116,Roseville Joint Union High,3130184,Granite Bay High,1160,80.2456896552,0.413763281443
117,San Diego Unified,3730231,Twain High,26,31.0,0.625410480551
118,Fremont Union High,4334421,Lynbrook High,184,79.3369565217,0.756982100169
119,Huntington Beach Union High,3031895,Edison High,1084,76.8551660517,0.461892321672
120,Rocklin Unified,3130200,Victory High,26,28.0,0.448567708333
121,Rocklin Unified,3130218,Rocklin Independent (Alte,48,39.25,0.448567708333
122,Placentia-Yorba Linda Unified,3031929,El Dorado High,816,75.3933823529,0.502359321079
123,Fremont Union High,4334462,Monta Vista High,303,85.5676567657,0.820271857694
124,Milpitas Unified,4334470,Milpitas High,166,71.0120481928,0.763473520249
125,Placentia-Yorba Linda Unified,3031945,El Camino Real Continuation Hi,20,32.0,0.502359321079
126,Hayward Unified,135319,Mt. Eden High,83,57.734939759,0.805712270804
127,Conejo Valley Unified,5637004,Thousand Oaks High,1189,77.7300252313,0.573676997215
128,Orange Unified,3031952,El Modena High,502,81.3545816733,0.581574185766
129,Placer County Office of Education,3130259,Placer County Community Schoo,54,29.5555555556,0.454617268347
130,Napa Valley Unified,2830149,Valley Oak High,24,8.0,0.646035992218
131,Morgan Hill Unified,4334488,"Central High, Cont.",14,21.0,0.638397924437
132,Mt. Diablo Unified,730044,Northgate High,708,80.9011299435,0.71499335508
133,Newport-Mesa Unified,3032000,Estancia High,182,70.4945054945,0.475611111111
134,San Ramon Valley Unified,730051,California High,987,80.6707193516,0.712884160757
135,Tahoe-Truckee Joint Unified,3138500,Tahoe Truckee High,281,73.0925266904,0.728649068323
136,Roseville Joint Union High,3130309,"Adelante High, Cont.",47,6.0,0.463985905275
137,San Bernardino County Office of Educatio,107466,Community/Independent Altern.,33,9.33333333333,0.735481736994
138,Chino Valley Unified,3630035,Don Antonio Lugo High,257,57.0155642023,0.556755844375
139,Palm Springs Unified,3335130,Palm Springs High,471,65.6305732484,0.652817873729
140,Ceres Unified,5030879,Ceres High,243,61.1028806584,0.549878345499
141,Antioch Unified,730101,Live Oak High (Continuation),17,12.0,0.672449179046
142,El Dorado Union High,930222,Vista High,12,33.0,0.469911783239
143,Turlock Unified,5036884,"Roselawn High, Cont.",21,0.0,0.621428571429
144,Riverside Unified,115709,Riverside Virtual,25,64.08,0.591321544905
145,Galt Joint Union High,3433471,Galt High,215,62.4418604651,0.456262332049
146,Acalanes Union High,107524,Acalanes Center for Independe,13,31.0,0.765043160481
147,Victor Valley Union High,3630100,Goodwill High,13,8.0,0.512803590285
148,Tustin Unified,3032109,Foothill High,910,84.6736263736,0.644908350305
149,Santa Ynez Valley Union High,4236345,Santa Ynez Valley Union High,392,79.4285714286,0.617440225035
150,Sequoia Union High,4138053,Woodside High,350,82.7857142857,0.786446020489
151,William S. Hart Union High,1934421,"Bowman (Jereann) High, Cont.",51,18.0,0.491702228544
152,Sutter Union High,5137500,Sutter High,368,52.6222826087,0.374968521783
153,Huntington Beach Union High,3032158,Fountain Valley High,828,75.1328502415,0.526354465896
154,San Ramon Valley Unified,730218,Venture (Alternative),140,60.7428571429,0.774209734069
155,Morongo Unified,3630209,Monument Alternative/Continuat,16,38.0,0.377001455604
156,Long Beach Unified,1934470,Jordan High,50,54.1,0.762278978389
157,Mountain View-Los Altos Union High,4334728,Mountain View High,664,83.6551204819,0.829648526077
158,Morongo Unified,3630217,Sky Alternative/Cont.,14,29.0,0.377001455604
159,Mountain View-Los Altos Union High,4334736,"Alta Vista High, Cont.",22,68.5,0.829648526077
160,Chaffey Joint Union High,3630225,Alta Loma High,734,64.0027247956,0.480173587474
161,Antioch Unified,730259,Prospects High (Alternative),75,28.2133333333,0.672449179046
162,Los Banos Unified,2434207,Los Banos High,209,62.980861244,0.610257497086
163,Rim of the World Unified,3630241,Mountain High,31,13.0,0.483720930233
164,Acalanes Union High,730283,Acalanes High,707,89.9971711457,0.772479288745
165,West Contra Costa Unified,730291,Middle College High,11,73.0,0.870882852292
166,Silver Valley Unified,3630274,Silver Valley High,132,54.4545454545,0.439288811795
167,Yuba City Unified,107722,River Valley High,397,56.838790932,0.426138978371
168,Mt. Diablo Unified,730317,Horizons Alternative,61,40.9836065574,0.706855684201
169,Bear Valley Unified,3630290,"Chautauqua High, Cont.",33,23.9090909091,0.333333333333
170,West Contra Costa Unified,730325,Vista High (Alternative),11,9.0,0.870882852292
171,Kerman Unified,1033430,Kerman High,113,67.4955752212,0.587924970692
172,Alhambra Unified,1934553,Mark Keppel High,12,50.0,0.74478785662
173,Northern Humboldt Union High,1230044,"Pacific Coast High, Cont.",11,30.0,0.84472670187
174,Northern Humboldt Union High,1230051,Tsurai High (Continuation),13,23.0,0.84472670187
175,San Bernardino City Unified,3630308,San Andreas High,29,0.0,0.527228673581
176,Mt. Diablo Unified,730341,"Nueva Vista High, Cont.",16,19.0,0.684253756583
177,Yucaipa-Calimesa Joint Unified,3638509,Yucaipa High,1104,62.0108695652,0.358327277532
178,Anaheim Union High,3036712,Savanna High,161,54.8260869565,0.685525159022
179,Mt. Diablo Unified,730358,Prospect High (Continuation),19,16.0,0.706855684201
180,San Diego County Office of Education,115972,Mesa Region Court,12,25.0,0.661459944324
181,La Canada Unified,1934611,La Canada High,629,89.9809220986,0.614227779655
182,Liberty Union High,107797,Heritage High,904,77.6836283186,0.595749440716
183,Chaffey Joint Union High,3630373,Etiwanda High,421,68.9073634204,0.527760767504
184,East Side Union High,4334900,Mt. Pleasant High,48,69.0625,0.790654620853
185,Mt. Diablo Unified,730424,Summit High (Continuation),11,18.0,0.684253756583
186,Twin Rivers Unified,3433794,Grant Union High,88,46.75,0.607810598518
187,Hesperia Unified,3630407,Hesperia High,240,53.6041666667,0.352627032121
188,Martinez Unified,730440,Vicente Martinez High,45,20.0666666667,0.728507401874
189,Long Beach Unified,1934678,Lakewood High,689,64.5094339623,0.616494507296
190,Apple Valley Unified,3630423,Apple Valley High,627,64.8915470494,0.443490545534
191,Morongo Unified,3638616,Yucca Valley High,566,56.0247349823,0.377001455604
192,Liberty Union High,730457,Freedom High,704,65.6519886364,0.598521493109
193,Antioch Unified,730465,Deer Valley High,435,69.7103448276,0.724910014821
194,Martinez Unified,730473,Briones (Alternative),12,42.0,0.728507401874
195,Upland Unified,3630456,Hillside High,22,18.0,0.607257595692
196,Apple Valley Unified,3630464,"Willow Park High, Cont.",12,8.0,0.443490545534
197,Hesperia Unified,3630472,Mojave High,12,0.0,0.352627032121
198,Tamalpais Union High,2131340,Sir Francis Drake High,545,82.3889908257,0.842880899134
199,Lake Elsinore Unified,107920,Lakeside High,330,65.5606060606,0.424122505162
200,Oroville Union High,435602,Oroville High,356,49.404494382,0.321538461538
201,San Mateo Union High,4130217,Aragon High,332,83.9728915663,0.772713878794
202,Martinez Unified,730549,Alhambra Senior High,503,75.069582505,0.728507401874
203,Fullerton Joint Union High,3032505,Fullerton Un. High,439,77.1480637813,0.613680361368
204,Chino Valley Unified,3630522,Ruben S. Ayala High,579,74.4058721934,0.556755844375
205,Los Angeles Unified,124362,Valley Academy of Arts and Sc,145,57.0137931034,0.637237402169
206,Liberty Union High,730572,Independence High,136,38.0882352941,0.595749440716
207,Porterville Unified,5432786,Monache High,260,63.3307692308,0.288544358312
208,Amador County Unified,334755,Argonaut High,320,62.2125,0.385672227674
209,Modesto City High,5031380,Davis (Grace M.) High,262,52.8129770992,0.53838479573
210,Centinela Valley Union High,1934926,Lawndale High,55,61.8,0.758911701726
211,Fontana Unified,3630555,Fontana Miller (A. B.) High,64,64.125,0.601653303499
212,Kingsburg Joint Union High,1033695,Kingsburg High,286,67.9300699301,0.375175315568
213,Lucerne Valley Unified,3630563,Lucerne Valley High,87,42.8275862069,0.764705882353
214,West Contra Costa Unified,730598,Hercules High,69,59.5652173913,0.797390691114
215,Chaffey Joint Union High,3630571,Rancho Cucamonga High,652,75.7239263804,0.480173587474
216,Visalia Unified,5432828,Mt. Whitney High,388,67.0515463918,0.369637305699
217,Rialto Unified,3630597,Rialto High,80,39.35,0.787734487734
218,Coast Unified,4032009,Coast Union High,72,70.75,0.610870610871
219,Whittier Union High,1934868,La Serna High,801,66.556803995,0.632635478591
220,Ceres Unified,108076,Central Valley High,182,51.5054945055,0.549878345499
221,Rocklin Unified,108084,Whitney High,899,76.213570634,0.448567708333
222,Lincoln Unified,3933793,"Larsson (Sture) High, Cont.",27,29.4444444444,0.625703335236
223,Palo Verde Unified,3335759,Palo Verde High,198,45.6818181818,0.535353535354
224,Dublin Unified,132704,Dublin High,521,73.3186180422,0.707552984685
225,Denair Unified,5031521,Denair High,145,42.7724137931,0.599279279279
226,Kern Union High,1533538,Kern Valley High,251,40.5338645418,0.513767209011
227,East Side Union High,4335204,Oak Grove High,155,56.0,0.727166715256
228,Lincoln Unified,3933801,Lincoln High,639,63.4538341158,0.625703335236
229,Lake Elsinore Unified,116343,Keith McCarthy Academy,23,17.0,0.424122505162
230,Barstow Unified,3630712,Central High (Continuation),51,10.0,0.471572794899
231,Sweetwater Union High,116350,Bounce Back Independent Study,32,19.0,0.756660746004
232,Stockton Unified,108159,Cesar Chavez High,112,35.5357142857,0.602362204724
233,Tulare Joint Union High,116368,Mission Oak High,265,66.920754717,0.509095204347
234,Manteca Unified,116376,Lathrop High,115,52.0695652174,0.659868421053
235,Hesperia Unified,3630746,Sultana High,548,57.947080292,0.352627032121
236,Fontana Unified,108191,Summit High,152,60.0131578947,0.601653303499
237,Kern Union High,116392,Independence High,347,64.0057636888,0.836192109777
238,Garden Grove Unified,3032752,Garden Grove High,228,63.7587719298,0.64383048817
239,Redlands Unified,3630779,Redlands East Valley High,645,72.8620155039,0.561524594386
240,Gateway Unified,4531901,Central Valley High,389,50.6426735219,0.304966308959
241,Lodi Unified,108225,Ronald E. McNair High,61,45.8032786885,0.590087266766
242,Victor Valley Union High,3630787,Silverado High,262,46.8854961832,0.581476766391
243,Los Banos Unified,119073,Crossroads Alternative Ed.,13,0.0,0.610257497086
244,Barstow Unified,3630803,Barstow High,295,47.0169491525,0.471572794899
245,Hesperia Unified,3630811,Shadow Ridge,11,9.0,0.352627032121
246,Roseville Joint Union High,116459,Antelope High,689,68.7053701016,0.507287322301
247,Antioch Unified,730861,Antioch High,360,53.5416666667,0.672449179046
248,Antelope Valley Union High,100081,William J. (Pete) Knight High,182,60.0,0.75649586297
249,Linden Unified,3933959,Linden High,253,65.185770751,0.856104651163
250,San Diego County Office of Education,124685,East Region Community-La Mesa,12,8.0,0.611484593838
251,Alameda City Unified,132878,Encinal High,147,71.156462585,0.893149245892
252,Exeter Union High,5431598,Exeter High,334,60.2035928144,0.330331875482
253,Ukiah Unified,2335024,Ukiah High,542,58.167896679,0.660858656259
254,Yuba City Unified,5130018,Powell (Albert) Cont.,62,19.4516129032,0.446681792399
255,Perris Union High,3335973,Perris,55,48.1636363636,0.632077582991
256,San Dieguito Union High,3737384,"Sunset High, Cont.",55,40.0909090909,0.633263943723
257,Woodland Joint Unified,5738802,Woodland Senior High,295,59.8406779661,0.648391970645
258,Apple Valley Unified,3630894,Granite Hills High,471,55.6390658174,0.285777190665
259,Fontana Unified,3630902,Kaiser (Henry J.) High,92,49.902173913,0.749244560838
260,San Dieguito Union High,3737418,San Dieguito High Academy,836,81.7033492823,0.633263943723
261,Santa Ana Unified,108365,Segerstrom High,47,82.7446808511,0.716721565588
262,Yuba City Unified,5130075,Yuba City Unified Alter.,31,22.4193548387,0.446681792399
263,Woodland Joint Unified,5738810,"Cache Creek High, Cont.",12,18.0,0.544075829384
264,Poway Unified,3735867,Poway High,1167,79.293916024,0.473180832183
265,Kern Union High,100198,Golden Valley High,127,47.3937007874,0.520790868325
266,Los Angeles Unified,120360,Daniel Pearl Journalism & Comm,59,74.7288135593,0.771121351767
267,Huntington Beach Union High,3032943,Huntington Beach High,1228,77.2239413681,0.452202878512
268,Northern Humboldt Union High,1230705,Arcata High,328,71.8048780488,0.84472670187
269,Sierra-Plumas Joint Unified,4634259,Loyalton High,57,57.7543859649,0.324641460235
270,Modesto City High,5031802,Thomas Downey High,440,63.95,0.508668368432
271,Twin Rivers Unified,3434370,Highlands High,175,53.0914285714,0.514348156594
272,Hacienda la Puente Unified,1935246,Los Altos High,115,74.9304347826,0.650818850267
273,Maricopa Unified,1533843,Maricopa High,24,20.5833333333,0.740663900415
274,Apple Valley Unified,3631009,High Desert Premier Academy,90,11.0666666667,0.443490545534
