,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,950,14.3757894737,0.643058547424
1,Holtville Unified,63149,1335306,Holtville High,197,45.883248731,0.586666666667
2,Pomona Unified,64907,1933324,Garey Senior High,624,35.7115384615,0.694546617624
3,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,81,40.5432098765,0.682593856655
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",75,20.0,0.808108640031
5,Shasta Union High,70136,4530200,Pioneer Continuation High,57,3.47368421053,0.35168792198
6,Bret Harte Union High,61556,532507,Bret Harte Union High,245,59.1224489796,0.348512011474
7,Shasta Union High,70136,4530218,Freedom High,15,7.0,0.35168792198
8,Santa Ana Unified,66670,114736,Hector G. Godinez,927,54.0614886731,0.673099513341
9,Windsor Unified,75358,4930228,Windsor High,539,50.6864564007,0.690663417876
10,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",23,0.0,0.83513562224
11,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,829,44.4535585042,0.884973040556
12,East Side Union High,69427,4333639,Lick (James) High,464,34.1530172414,0.790654620853
13,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",36,8.0,0.691237192231
14,Orange Unified,66621,114769,OUSD Community Day,14,36.0,0.581574185766
15,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,153,53.339869281,0.289198606272
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,177,76.5423728814,0.750386750387
17,Corona-Norco Unified,67033,3334232,Norco High,779,55.080872914,0.521374277896
18,Simi Valley Unified,72603,5636188,Simi Valley High,834,60.8489208633,0.510060259422
19,Lucia Mar Unified,68759,4030557,Arroyo Grande High,806,54.2555831266,0.530927105449
20,Tulare Joint Union High,72249,5435409,Tulare Union High,609,48.3481116585,0.509095204347
21,Berkeley Unified,61143,131177,Berkeley High,1031,51.1707080504,0.95595970901
22,Redlands Unified,67843,118802,Citrus Valley High,784,60.1454081633,0.455927591103
23,Marin County Office of Education,10215,2130037,Marin County Community,47,7.72340425532,0.776995305164
24,Modesto City High,71175,5030010,Beyer (Fred C.) High,667,52.0419790105,0.503361941726
25,Elk Grove Unified,67314,3432572,Elk Grove High,622,57.501607717,0.53358802929
26,Shasta Union High,70136,4530309,North State Independence High,49,24.8367346939,0.35168792198
27,Azusa Unified,64279,1933449,Gladstone High,495,41.2303030303,0.461583577713
28,Shasta County Office of Education,10454,4530317,Oasis Community,57,7.36842105263,0.35168792198
29,Escalon Unified,68502,3932308,Escalon High,332,46.5060240964,0.38561479177
30,Alvord Unified,66977,3334299,Norte Vista High,827,37.446191052,0.641564318035
31,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),12,92.0,0.758831277691
32,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",72,17.0,0.66717603912
33,Los Angeles Unified,64733,114850,West Adams Preparatory High,756,23.6825396825,0.904467987103
34,Plumas Unified,66969,3236007,Quincy Junior/Senior High,66,59.0,0.579813250333
35,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,125,84.0,0.619047619048
36,Stanislaus County Office of Education,10504,5030069,Stanislaus Community,44,2.22727272727,0.504190412337
37,Stanislaus County Office of Education,10504,5030085,John B. Allard,211,4.82938388626,0.616432613708
38,San Diego Unified,68338,3735750,Point Loma High,698,64.0773638968,0.687368103708
39,Nevada Joint Union High,66357,2935500,Nevada Union High,718,60.0097493036,0.486882716049
40,Glendale Unified,64568,1933530,Glendale High,991,51.1301715439,0.649555830428
41,Hemet Unified,67082,106716,Hamilton High,123,44.8292682927,0.306974190005
42,Hilmar Unified,65698,2432409,Hilmar High,232,53.2068965517,0.595591030027
43,San Francisco Unified,68478,3834082,Mission High,336,25.2023809524,0.938423268274
44,San Jose Unified,69666,4333795,Lincoln (Abraham) High,603,46.3466003317,0.806573310314
45,Patterson Joint Unified,71217,5030127,"Del Puerto High, Cont.",34,9.0,0.577589023195
46,Modesto City High,71175,5030135,Johansen (Peter) High,569,40.3181019332,0.298161470823
47,Riverside Unified,67215,3334406,North (John W.) High,870,46.8896551724,0.6940433213
48,Ceres Unified,71043,5030168,Endeavor Alternative,30,3.0,0.549878345499
49,Glendora Unified,64576,1933597,Glendora High,904,66.8296460177,0.519502353732
50,Poway Unified,68296,3735842,Abraxas Continuation High,31,16.0,0.473045822102
51,Atascadero Unified,68700,4030755,Atascadero High,540,58.7185185185,0.472904383491
52,Upper Lake Union High,64071,1737006,Upper Lake High,114,29.7631578947,0.459459459459
53,Windsor Unified,75358,4930269,Windsor Oaks Academy,21,5.0,0.690663417876
54,Ukiah Unified,65615,2335024,Ukiah High,531,41.9604519774,0.634938728983
55,Hesperia Unified,75044,3630472,Mojave High,79,8.58227848101,0.346627880273
56,Ceres Unified,71043,5030200,"Argus High, Cont.",112,8.03571428571,0.549878345499
57,Fresno Unified,62166,1032507,Fresno High,782,25.6560102302,0.571761688236
58,Exeter Union High,71928,5431614,Kaweah High,12,0.0,0.455
59,South San Francisco Unified,69070,4137279,South San Francisco High,553,49.8282097649,0.823785517874
60,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,613,37.0717781403,0.66824754731
61,Upland Unified,75069,3637584,Upland High,1248,55.1730769231,0.610185756392
62,Stanislaus County Office of Education,10504,5030226,Petersen Alternative Center f,122,6.70491803279,0.504190412337
63,Chico Unified,61424,431502,Fair View High (Continuation),73,11.2876712329,0.611191139281
64,Fontana Unified,67710,3630480,Citrus High (Continuation),84,10.0,0.767511394713
65,Waterford Unified,75572,5030259,Waterford High,202,48.1485148515,0.505358150028
66,Mammoth Unified,73692,2630010,Mammoth High,97,48.2474226804,0.452304394427
67,Morgan Hill Unified,69583,4333951,Live Oak High,412,51.9053398058,0.62508259548
68,Kern Union High,63529,1532290,East Bakersfield High,706,34.4065155807,0.288645690834
69,San Juan Unified,67447,3432838,Encina Preparatory High,204,19.6617647059,0.742994588094
70,Turlock Unified,75739,5030283,Pitman (John H.) High,776,54.2963917526,0.434776749618
71,Corning Union High,71506,5231709,Corning High,343,37.9008746356,0.349639855942
72,Ramona City Unified,68304,3735958,"Montecito High, Cont.",41,9.39024390244,0.315043052507
73,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",215,7.27906976744,0.740069892208
74,Petaluma Joint Union High,70862,4930012,Casa Grande High,598,63.9498327759,0.76189277624
75,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,69,84.0,0.521778584392
76,Los Molinos Unified,71571,5235106,Los Molinos High,67,41.7313432836,0.259711431743
77,Sonora Union High,72389,5530019,"Cassina (Dario) High, Cont.",23,13.0,0.402743379691
78,Ramona City Unified,68304,3735974,Ramona High,670,48.8925373134,0.315043052507
79,Sonora Union High,72389,5530043,Bird High,18,17.0,0.402743379691
80,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,94,9.57446808511,0.666864608076
81,Galt Joint Union High,67355,3432903,Estrellita Continuation High,35,11.0,0.473642263464
82,Los Angeles Unified,64733,110668,Frida Kahlo High,52,21.0769230769,0.922107850668
83,Santa Barbara Unified,76786,4235727,Santa Barbara Senior High,736,61.3559782609,0.772852128796
84,Santa Cruz City High,69823,4432340,Harbor High,400,49.205,0.838548185232
85,Colusa Unified,61598,631259,Colusa High,129,40.3643410853,0.338235294118
86,Big Oak Flat-Groveland Unified,75184,5530076,Tioga High,11,73.0,0.588235294118
87,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,878,37.1867881549,0.743107540624
88,San Bernardino County Office of Educatio,10363,123364,Bob Murphy Co. Community Day,48,0.0,0.797048080953
89,San Bernardino County Office of Educatio,10363,123372,High Desert Assessment Ctr.,36,6.0,0.285087719298
90,Stockton Unified,68676,3932654,Franklin High,747,32.8915662651,0.546288209607
91,Los Angeles Unified,64733,106997,Orthopaedic Hospital,267,61.4456928839,0.904467987103
92,Los Angeles Unified,64733,107003,Northridge Academy High,355,54.6366197183,0.746801978509
93,Los Angeles Unified,64733,107011,International Studies Learnin,143,44.1188811189,0.837803249499
94,California Education Authority,32276,3990025,Chaderjian (N.A.) High,57,1.57894736842,0.484574111335
95,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,420,30.3,0.699944842802
96,San Diego Unified,68338,107029,San Diego International Studi,221,79.4343891403,0.703490464196
97,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,1055,52.1895734597,0.816042024447
98,San Diego Unified,68338,107037,San Diego LEADS,102,23.6274509804,0.703490464196
99,Jurupa Unified,67090,3334687,Nueva Vista Continuation High,52,17.0,0.588575560376
100,Mountain View-Los Altos Union High,69609,4334116,Los Altos High,572,78.9195804196,0.776614310646
101,San Diego Unified,68338,107045,San Diego Communication,50,7.8,0.703490464196
102,Escondido Union High,68106,123430,Escondido Community Day,16,25.0,0.369605142332
103,San Diego Unified,68338,107052,San Diego Business,147,38.9047619048,0.703490464196
104,San Diego Unified,68338,107060,San Diego MVP Arts,116,28.9827586207,0.703490464196
105,Jefferson Union High,68924,4137535,Terra Nova High,455,60.6021978022,0.814388961892
106,Merced Union High,65789,2433605,Livingston High,365,48.3726027397,0.572062084257
107,San Diego Unified,68338,107078,Kearny Digital Media & Design,131,65.0381679389,0.63646714996
108,Anderson Union High,69856,4530762,North Valley High,35,2.74285714286,0.253796337651
109,Vacaville Unified,70573,4833869,Country High,37,3.0,0.570959803117
110,San Diego Unified,68338,107086,Kearny SCT,142,55.2676056338,0.63646714996
111,San Diego Unified,68338,107094,Kearny International Business,127,74.7322834646,0.63646714996
112,Imperial Unified,63164,1335900,Imperial High,378,61.9365079365,0.610309278351
113,San Diego Unified,68338,107102,Kearny Construction Tech,176,36.7954545455,0.63646714996
114,Del Norte County Unified,61820,836205,Sunset High,34,2.94117647059,0.407816091954
115,Anderson Union High,69856,4530804,Anderson High,175,46.8971428571,0.253796337651
116,Jefferson Union High,68924,4137592,Thornton High,64,4.59375,0.809661649299
117,Centinela Valley Union High,64352,1933951,Hawthorne High,721,31.879334258,0.874346343312
118,Newport-Mesa Unified,66597,3031697,Corona del Mar High,611,73.2307692308,0.47624178429
119,El Dorado Union High,61853,934554,Independence Continuation,56,16.0,0.376518218623
120,San Diego Unified,68338,107177,Crawford Multimedia and Visua,106,30.2830188679,0.727572685539
121,San Diego Unified,68338,107185,Crawford CHAMPS,94,38.0,0.727572685539
122,Western Placer Unified,66951,3130036,"Phoenix High, Cont.",20,5.0,0.403606102635
123,Visalia Unified,72256,5430046,Golden West High,481,45.1975051975,0.464601769912
124,San Diego Unified,68338,107193,Crawford Law and Business,106,20.7358490566,0.727572685539
125,Kern Union High,63529,1532605,Foothill High,637,38.4725274725,0.288645690834
126,San Diego Unified,68338,107201,Crawford IDEA,153,30.2222222222,0.727572685539
127,Stockton Unified,68676,115402,Edward C. Merlo Institute of,101,15.0693069307,0.651608986035
128,Fresno Unified,62166,1032911,Herbert Hoover High,617,38.3338735818,0.574914546145
129,Los Angeles Unified,64733,1934033,Hollywood Senior High,576,51.9791666667,0.869295923769
130,San Diego Unified,68338,107219,San Diego Science and Technol,201,49.6915422886,0.703490464196
131,Los Angeles County Office of Education,10199,123604,Phoenix Academy Residential,32,0.0,0.755491167399
132,Los Angeles County Office of Education,10199,123612,Pacific Lodge Residential,14,0.0,0.755491167399
133,Madera Unified,65243,123620,Eastin-Arcola High,96,5.25,0.589822329458
134,Chowchilla Union High,65201,2032357,Chowchilla High,327,38.2935779817,0.42074776198
135,Reef-Sunset Unified,73932,1630953,Avenal High,205,27.9512195122,0.434539260221
136,Porterville Unified,75523,5432786,Monache High,718,48.348189415,0.288544358312
137,Washington Unified,72694,5735154,River City Senior High,725,37.4689655172,0.782843431314
138,Hesperia Unified,75044,115444,Canyon Ridge High,83,7.46987951807,0.291064388962
139,Vista Unified,68452,115451,Major General Raymond Murray,93,10.9032258065,0.523737297133
140,Victor Valley Union High,67934,3638012,Victor Valley High,920,34.297826087,0.447736654306
141,Santa Maria Joint Union High,69310,4236030,Santa Maria High,863,26.6373117034,0.488544474394
142,Willits Unified,65623,2335487,Willits High,168,36.8095238095,0.610826064649
143,Folsom-Cordova Unified,67330,3433216,Folsom High,745,74.6308724832,0.496486605182
144,Glendale Unified,64568,1934082,Herbert Hoover High,701,49.0271041369,0.657273715262
145,Roseville Joint Union High,66928,3130119,"Independence High, Alt.",41,31.4634146341,0.465835086665
146,Placer Union High,66894,3130135,Maidu High Independent Study,12,25.0,0.643084541917
147,Los Gatos-Saratoga Joint Union High,69534,4334371,Los Gatos High,670,78.5074626866,0.708251857646
148,Rocklin Unified,75085,3130150,Rocklin High,643,76.4121306376,0.451236019092
149,Tehachapi Unified,63826,1536135,Tehachapi High,489,56.9427402863,0.264682952183
150,Newport-Mesa Unified,66597,3031853,Costa Mesa High,333,50.7297297297,0.47624178429
151,Twin Rivers Unified,76505,3433265,Foothill High,399,41.4285714286,0.542284984841
152,Jefferson Union High,68924,4137790,Westmoor High,652,49.3374233129,0.776695791369
153,Roseville Joint Union High,66928,3130176,Woodcreek High,838,69.9582338902,0.516927675612
154,Roseville Joint Union High,66928,3130184,Granite Bay High,848,77.4386792453,0.402407566638
155,San Diego Unified,68338,3730231,Twain High,98,10.5306122449,0.63646714996
156,Los Angeles Unified,64733,1934157,Huntington Park Senior High,1331,28.3178061608,0.876167739257
157,Fremont Union High,69468,4334421,Lynbrook High,659,87.722306525,0.737441286522
158,Huntington Beach Union High,66548,3031895,Edison High,920,71.0108695652,0.472830529622
159,Rocklin Unified,75085,3130200,Victory High,24,29.0,0.451236019092
160,Rocklin Unified,75085,3130218,Rocklin Independent (Alte,24,20.5,0.451236019092
161,Placentia-Yorba Linda Unified,66647,3031929,El Dorado High,709,66.7475317348,0.503782332845
162,Fremont Union High,69468,4334462,Monta Vista High,918,90.8692810458,0.810852120749
163,Konocti Unified,64022,1730027,Carle (William C.) High (Cont,32,15.75,0.431428571429
164,Milpitas Unified,73387,4334470,Milpitas High,1040,69.4442307692,0.761451562984
165,Placentia-Yorba Linda Unified,66647,3031945,El Camino Real Continuation Hi,73,8.8904109589,0.503782332845
166,Hayward Unified,61192,135319,Mt. Eden High,713,37.7713884993,0.805712270804
167,Conejo Valley Unified,73759,5637004,Thousand Oaks High,928,70.0851293103,0.573899239703
168,Orange Unified,66621,3031952,El Modena High,757,63.9801849406,0.581574185766
169,San Francisco Unified,68478,3834769,O'Connell (John) Alternative,149,32.6510067114,0.927743252017
170,Placer County Office of Education,10314,3130259,Placer County Community Schoo,78,19.3205128205,0.466746794872
171,Napa Valley Unified,66266,2830149,Valley Oak High,68,9.29411764706,0.635677083333
172,Inglewood Unified,64634,1934231,Inglewood High,569,23.0632688928,0.841366589141
173,Morgan Hill Unified,69583,4334488,"Central High, Cont.",38,22.0,0.62508259548
174,Oakland Unified,61259,107417,Leadership Prep High,34,6.17647058824,0.879256384577
175,Inglewood Unified,64634,1934249,Hillcrest High,25,8.0,0.841366589141
176,Mt. Diablo Unified,61754,730044,Northgate High,540,75.987037037,0.675010429704
177,Newport-Mesa Unified,66597,3032000,Estancia High,426,45.4248826291,0.47624178429
178,San Ramon Valley Unified,61804,730051,California High,941,77.6078639745,0.689691871072
179,Tahoe-Truckee Joint Unified,66944,3138500,Tahoe Truckee High,190,55.0894736842,0.738916256158
180,Roseville Joint Union High,66928,3130309,"Adelante High, Cont.",52,8.01923076923,0.465835086665
181,San Bernardino County Office of Educatio,10363,107466,Community/Independent Altern.,85,6.63529411765,0.743398985121
182,Oakland Unified,61259,115667,Oakland International High,154,0.597402597403,0.949256342957
183,San Diego Unified,68338,107482,San Diego Metro Career and Te,65,60.0461538462,0.63646714996
184,Ceres Unified,71043,5030879,Ceres High,490,50.6530612245,0.549878345499
185,Antioch Unified,61648,730101,Live Oak High (Continuation),36,11.0,0.671317619435
186,Turlock Unified,75739,5036884,"Roselawn High, Cont.",73,0.0,0.616432613708
187,Riverside Unified,67215,115709,Riverside Virtual,15,53.0,0.55196454629
188,Galt Joint Union High,67355,3433471,Galt High,321,53.2367601246,0.473642263464
189,Victor Valley Union High,67934,3630100,Goodwill High,86,4.39534883721,0.499383401159
190,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,530,19.0377358491,0.922107850668
191,Tustin Unified,73643,3032109,Foothill High,852,75.1502347418,0.624855443582
192,Santa Ynez Valley Union High,69328,4236345,Santa Ynez Valley Union High,363,62.7851239669,0.605429172242
193,West Sonoma County Union High,70607,4930400,Analy High,453,60.114790287,0.788591562708
194,Sequoia Union High,69062,4138053,Woodside High,561,53.4723707665,0.786446020489
195,Pittsburg Unified,61788,730184,Riverside High (Continuation),69,5.47826086957,0.811901646119
196,Rialto Unified,67850,3630159,Milor Continuation High,54,6.0,0.797048080953
197,William S. Hart Union High,65136,1934421,"Bowman (Jereann) High, Cont.",96,21.0,0.45738545338
198,Sutter Union High,71449,5137500,Sutter High,259,46.277992278,0.351928692178
199,Huntington Beach Union High,66548,3032158,Fountain Valley High,1317,76.9460895976,0.534994634553
200,San Ramon Valley Unified,61804,730218,Venture (Alternative),94,47.8617021277,0.711773832098
201,Los Angeles Unified,64733,1934454,David Starr Jordan Senior Hig,277,19.1516245487,0.91624251497
202,South San Francisco Unified,69070,4130324,"Baden High, Cont.",39,13.4615384615,0.823785517874
203,Morongo Unified,67777,3630209,Monument Alternative/Continuat,13,38.0,0.330801687764
204,Contra Costa County Office of Education,10074,730242,Delta Vista High,55,14.6909090909,0.545821607733
205,Long Beach Unified,64725,1934470,Jordan High,1291,24.4066615027,0.777751852068
206,Mountain View-Los Altos Union High,69609,4334728,Mountain View High,661,73.3328290469,0.829648526077
207,Morongo Unified,67777,3630217,Sky Alternative/Cont.,17,12.0,0.330801687764
208,Mountain View-Los Altos Union High,69609,4334736,"Alta Vista High, Cont.",56,38.9642857143,0.829648526077
209,Chaffey Joint Union High,67652,3630225,Alta Loma High,985,52.9228426396,0.475426024151
210,Antioch Unified,61648,730259,Prospects High (Alternative),74,24.2027027027,0.671317619435
211,Los Banos Unified,65755,2434207,Los Banos High,369,42.6233062331,0.609182058047
212,Rim of the World Unified,67868,3630241,Mountain High,35,14.0,0.416916018352
213,West Contra Costa Unified,61796,730275,North Campus Continuation,33,4.0,0.870163170163
214,Acalanes Union High,61630,730283,Acalanes High,524,85.6698473282,0.772479288745
215,West Contra Costa Unified,61796,730291,Middle College High,94,78.7340425532,0.870163170163
216,Konocti Unified,64022,107706,Blue Heron,11,9.0,0.431428571429
217,Milpitas Unified,73387,4331039,Calaveras Hills,47,11.0,0.761451562984
218,Silver Valley Unified,73890,3630274,Silver Valley High,169,43.0177514793,0.383355350066
219,Yuba City Unified,71464,107722,River Valley High,636,45.4905660377,0.436825813714
220,Mt. Diablo Unified,61754,730317,Horizons Alternative,40,32.375,0.706974540128
221,Kerman Unified,73999,1033422,Enterprise High,40,17.1,0.604410751206
222,Bear Valley Unified,67637,3630290,"Chautauqua High, Cont.",31,28.8709677419,0.359212738602
223,San Diego County Office of Education,10371,115923,South Region Community,176,4.90909090909,0.754522217853
224,West Contra Costa Unified,61796,730325,Vista High (Alternative),38,20.9473684211,0.870163170163
225,Kerman Unified,73999,1033430,Kerman High,440,53.0795454545,0.604410751206
226,Alhambra Unified,75713,1934553,Mark Keppel High,897,64.7670011148,0.663436301232
227,Northern Humboldt Union High,62687,1230044,"Pacific Coast High, Cont.",12,25.0,0.84499448597
228,Northern Humboldt Union High,62687,1230051,Tsurai High (Continuation),13,15.0,0.84499448597
229,San Bernardino City Unified,67876,3630308,San Andreas High,137,1.0,0.540065016539
230,Mt. Diablo Unified,61754,730341,"Nueva Vista High, Cont.",16,13.0,0.66013560674
231,San Diego County Office of Education,10371,115949,Metro Region Community,114,8.14035087719,0.703490464196
232,Los Angeles Unified,64733,120360,Daniel Pearl Journalism & Comm,128,65.90625,0.768974432634
233,Mt. Diablo Unified,61754,730358,Prospect High (Continuation),20,20.0,0.706974540128
234,San Diego County Office of Education,10371,115964,Mountain Region Court,138,7.23188405797,0.67032967033
235,Gilroy Unified,69484,4334850,Mt. Madonna High,83,11.3012048193,0.697410402909
236,San Diego County Office of Education,10371,115972,Mesa Region Court,192,10.6614583333,0.65646846576
237,La Canada Unified,64659,1934611,La Canada High,578,87.7335640138,0.590101694915
238,Liberty Union High,61721,107797,Heritage High,799,68.7221526909,0.571727092258
239,San Mateo County Office of Education,10413,4130076,Hillcrest at Youth Services C,44,2.22727272727,0.797596821294
240,San Diego County Office of Education,10371,115998,San Pasqual Academy,16,19.0,0.515933646186
241,Chaffey Joint Union High,67652,3630373,Etiwanda High,1160,56.8896551724,0.52787952788
242,Manteca Unified,68593,3935111,"Calla High, Cont.",76,3.0,0.507855822551
243,East Side Union High,69427,4334900,Mt. Pleasant High,581,42.1531841652,0.790654620853
244,Mt. Diablo Unified,61754,730424,Summit High (Continuation),20,10.0,0.66013560674
245,Colton Joint Unified,67686,3630399,Washington High,41,4.82926829268,0.621570090359
246,Twin Rivers Unified,76505,3433794,Grant Union High,692,29.1098265896,0.606024488027
247,Hesperia Unified,75044,3630407,Hesperia High,674,38.1513353116,0.346627880273
248,Martinez Unified,61739,730440,Vicente Martinez High,45,4.33333333333,0.73651024615
249,Long Beach Unified,64725,1934678,Lakewood High,1492,49.0053619303,0.627080240644
250,Apple Valley Unified,75077,3630423,Apple Valley High,687,52.5094614265,0.412444444444
251,Morongo Unified,67777,3638616,Yucca Valley High,456,47.8728070175,0.330801687764
252,Liberty Union High,61721,730457,Freedom High,846,52.2375886525,0.567729804007
253,San Bernardino County Office of Educatio,10363,3630431,Detention and Assessment,86,2.23255813953,0.621570090359
254,Antioch Unified,61648,730465,Deer Valley High,884,49.4049773756,0.720506845325
255,Upland Unified,75069,3630456,Hillside High,63,19.0,0.610185756392
256,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,780,56.3102564103,0.651520069242
257,Tamalpais Union High,65482,2131340,Sir Francis Drake High,327,71.2660550459,0.842657342657
258,Lake Elsinore Unified,75176,107920,Lakeside High,621,49.3961352657,0.418744769874
259,Kern Union High,63529,1533330,Highland High,657,44.3333333333,0.288645690834
260,Denair Unified,71068,5031521,Denair High,136,32.8161764706,0.515901060071
261,San Mateo Union High,69047,4130217,Aragon High,504,73.0,0.772713878794
262,Martinez Unified,61739,730549,Alhambra Senior High,442,64.8642533937,0.73651024615
263,Fullerton Joint Union High,66514,3032505,Fullerton Un. High,724,57.0,0.607724006762
264,Chino Valley Unified,67678,3630522,Ruben S. Ayala High,918,72.651416122,0.56642519685
265,Rialto Unified,67850,3630530,Zupanic High,13,31.0,0.797048080953
266,Los Angeles Unified,64733,124362,Valley Academy of Arts and Sc,354,43.6892655367,0.607977991747
267,Liberty Union High,61721,730572,Independence High,113,29.3185840708,0.571727092258
268,Hacienda la Puente Unified,73445,1934801,La Puente High,531,44.1563088512,0.765904748425
269,Los Angeles Unified,64733,124370,"Arts, Theatre, Entertainment",139,38.2086330935,0.823900205693
270,Folsom-Cordova Unified,67330,113571,Vista del Lago High,528,74.6704545455,0.496486605182
271,Modesto City High,71175,5031380,Davis (Grace M.) High,442,38.0384615385,0.557129407737
272,Fontana Unified,67710,3630555,Fontana Miller (A. B.) High,869,42.6720368239,0.598276322822
273,Kingsburg Joint Union High,62257,1033695,Kingsburg High,391,55.8797953964,0.350026357406
274,Lucerne Valley Unified,75051,3630563,Lucerne Valley High,81,28.6913580247,0.290057518488
275,Los Angeles Unified,64733,124388,Social Justice Humanitas,154,40.3376623377,0.823900205693
276,West Contra Costa Unified,61796,730598,Hercules High,382,44.3115183246,0.796276929513
277,Kings Canyon Joint Unified,62265,1033703,Kings Canyon Continuation,29,0.0,0.528384279476
278,Chaffey Joint Union High,67652,3630571,Rancho Cucamonga High,1153,63.2324371206,0.475426024151
279,Los Angeles Unified,64733,124396,Academy of Scientific Explora,139,39.5827338129,0.823900205693
280,Los Angeles Unified,64733,124404,Teacher Preparation Acad #5F,137,11.8321167883,0.823900205693
281,Contra Costa County Office of Education,10074,730614,Golden Gate,60,1.8,0.73651024615
282,Los Angeles Unified,64733,124412,Los Angeles River,127,31.4094488189,0.843943498452
283,Amador County Unified,73981,334755,Argonaut High,216,55.6666666667,0.385672227674
284,Kingsburg Joint Union High,62257,1033729,Oasis Continuation High,14,36.0,0.350026357406
285,Los Angeles Unified,64733,124420,Schl - History & Dramatic Arts,94,44.6808510638,0.843943498452
286,Rialto Unified,67850,3630597,Rialto High,1022,37.9843444227,0.797048080953
287,Coast Unified,75465,4032009,Coast Union High,75,57.4133333333,0.607917958502
288,Whittier Union High,65128,1934868,La Serna High,939,57.2236421725,0.593833692599
289,Los Angeles Unified,64733,124438,ARTLAB @ Sotomayor,107,31.7102803738,0.843943498452
290,Ceres Unified,71043,108076,Central Valley High,625,46.6256,0.549878345499
291,Los Angeles Unified,64733,124461,Social Justice: Global Issues,219,16.9360730594,0.922107850668
292,Rocklin Unified,75085,108084,Whitney High,641,71.8471138846,0.451236019092
293,Kings Canyon Joint Unified,62265,108092,Orange Cove High,171,37.8011695906,1.0
294,Livermore Valley Joint Unified,61200,132670,Del Valle Continuation High,11,18.0,0.429708222812
295,Los Angeles Unified,64733,124479,Social Justice: Fine and Perf,217,22.0276497696,0.922107850668
296,Los Angeles Unified,64733,124487,Public Svs South Region HS#2,130,18.9,0.924713206895
297,Centinela Valley Union High,64352,1934926,Lawndale High,891,47.2895622896,0.75959933222
298,Los Angeles Unified,64733,124495,Comm & Tech-SRH#2B,169,13.0414201183,0.924713206895
299,Oakland Unified,61259,132688,Dewey Academy,40,0.0,0.92997246108
300,Los Angeles Unified,64733,124503,Green Design So Region HS#2C,148,19.0540540541,0.924713206895
301,Montebello Unified,64808,1996388,Montebello Community Day,41,0.0,0.737907992804
302,Los Angeles Unified,64733,124511,Performing Arts Comm SRH#2,101,16.0297029703,0.924713206895
303,Dublin Unified,75093,132704,Dublin High,607,71.7116968699,0.700857618296
304,Lincoln Unified,68569,3933793,"Larsson (Sture) High, Cont.",79,20.2405063291,0.594881537774
305,Kern Union High,63529,1533538,Kern Valley High,162,34.8209876543,0.254545454545
306,East Side Union High,69427,4335204,Oak Grove High,768,40.0729166667,0.723253757737
307,Lincoln Unified,68569,3933801,Lincoln High,923,48.4225352113,0.594881537774
308,Los Angeles Unified,64733,124529,Rancho Dominguez Preparatory,329,37.5866261398,0.737823921668
309,Lake Elsinore Unified,75176,116343,Keith McCarthy Academy,26,12.0,0.418744769874
310,Barstow Unified,67611,3630712,Central High (Continuation),95,3.34736842105,0.488238562697
311,Sweetwater Union High,68411,116350,Bounce Back Independent Study,286,16.0,0.754016957886
312,Fairfield-Suisun Unified,70540,124545,Dover Bridge to Success,11,18.0,0.649664153932
313,Montebello Unified,64808,124552,Applied Technology Center,106,54.0,0.737907992804
314,Emery Unified,61168,132746,Emery Secondary,77,23.5844155844,0.915275200989
315,Tulare Joint Union High,72249,116368,Mission Oak High,535,45.1065420561,0.509095204347
316,California Education Authority,32276,5637780,Perry (Mary B.) High,105,0.0,0.562587476419
317,Hesperia Unified,75044,3630746,Sultana High,760,47.4013157895,0.346627880273
318,Fontana Unified,67710,108191,Summit High,821,48.3934226553,0.598276322822
319,Delano Joint Union High,63412,116384,Robert F. Kennedy High,357,39.8655462185,0.800452147702
320,San Mateo Union High,69047,4130472,Burlingame High,489,73.9079754601,0.771918338194
321,Garden Grove Unified,66522,3032752,Garden Grove High,865,55.4242774566,0.646146252027
322,Redlands Unified,67843,3630779,Redlands East Valley High,783,58.441890166,0.560438237419
323,Gateway Unified,75267,4531901,Central Valley High,293,45.1774744027,0.318652162377
324,Lodi Unified,68585,108225,Ronald E. McNair High,663,32.520361991,0.568053440739
