,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,221,13.8552036199,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,116,64.9568965517,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,302,65.5198675497,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,44,47.6818181818,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,316,72.9113924051,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,141,62.3191489362,0.412444444444
6,Hemet Unified,67082,3330065,Alessandro High,16,13.0,0.467771639042
7,Redlands Unified,67843,118802,Citrus Valley High,310,64.9677419355,0.455927591103
8,Dixon Unified,70532,4832259,Dixon High,125,44.12,0.670484122853
9,Fillmore Unified,72454,5632021,Fillmore Senior High,141,56.9716312057,0.614634146341
10,Coronado Unified,68031,3731478,Coronado High,112,76.7142857143,0.631088082902
11,Bret Harte Union High,61556,532507,Bret Harte Union High,16,63.0,0.348512011474
12,Ojai Unified,72520,5634076,Nordhoff High,58,63.8275862069,0.733727810651
13,San Marcos Unified,73791,3737632,San Marcos High,152,69.9078947368,0.556289356474
14,Kern Union High,63529,116400,Mira Monte High,80,42.4625,0.568197553658
15,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,505,62.1861386139,0.469943247562
16,San Jose Unified,69666,4330502,Liberty High (Alternative,29,15.1034482759,0.723253757737
17,Riverside Unified,67215,3336237,Polytechnic High,278,57.8597122302,0.55196454629
18,Sweetwater Union High,68411,3731502,San Ysidro High,211,44.8862559242,0.653173965448
19,Santa Ana Unified,66670,114736,Hector G. Godinez,160,63.5375,0.673099513341
20,North Monterey County Unified,73825,2730034,North Monterey County High,74,55.2972972973,0.724327897752
21,Clovis Unified,62117,1030196,Clovis West High,223,68.331838565,0.410257742673
22,Chaffey Joint Union High,67652,3631157,Colony High,317,51.858044164,0.584564584732
23,San Diego Unified,68338,3730371,San Diego SCPA,67,76.2089552239,0.639748894279
24,Rim of the World Unified,67868,3635265,Rim of the World Senior High,57,59.8596491228,0.416916018352
25,Lake Elsinore Unified,75176,3330115,Ortega High,12,17.0,0.418744769874
26,Murrieta Valley Unified,75200,100420,Vista Murrieta High,435,67.1264367816,0.408031308491
27,Grossmont Union High,68130,3731809,El Capitan High,112,44.5089285714,0.28692779613
28,Poway Unified,68296,3731528,Westview High,126,76.3333333333,0.590174713507
29,Tulare Joint Union High,72249,5435466,Tulare Western High,145,66.4965517241,0.509095204347
30,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,31,51.2580645161,0.289198606272
31,West Contra Costa Unified,61796,735316,Pinole Valley High,132,36.3939393939,0.820333432569
32,Corona-Norco Unified,67033,3334232,Norco High,257,59.0817120623,0.521374277896
33,Los Banos Unified,65755,120923,Pacheco High,202,50.2475247525,0.609182058047
34,Simi Valley Unified,72603,5636188,Simi Valley High,192,61.4375,0.510060259422
35,San Juan Unified,67447,3430493,Bella Vista High,88,65.0454545455,0.486412512219
36,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,77,66.4415584416,0.644798745426
37,Hanford Joint Union High,63925,1634401,Hanford High,242,48.0165289256,0.41235459286
38,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,54,70.5185185185,0.764052462527
39,Simi Valley Unified,72603,5635008,Royal High,129,51.2325581395,0.502965372106
40,Desert Sands Unified,67058,118885,Shadow Hills High,125,63.736,0.680439104503
41,Tulare Joint Union High,72249,5435409,Tulare Union High,168,55.5654761905,0.509095204347
42,Berkeley Unified,61143,131177,Berkeley High,204,54.2058823529,0.95595970901
43,San Benito High,67538,3537008,San Benito High,508,54.7342519685,0.630313644324
44,Oxnard Union High,72546,5630066,"Frontier High, Cont.",23,13.0,0.562587476419
45,Laguna Beach Unified,66555,3033206,Laguna Beach High,45,77.7333333333,0.55997588909
46,Sacramento City Unified,67439,3430519,Capital City,33,12.2727272727,0.810262114997
47,Grossmont Union High,68130,3734548,Monte Vista High,164,39.2073170732,0.567637598284
48,Modesto City High,71175,5030010,Beyer (Fred C.) High,195,52.0615384615,0.503361941726
49,Elk Grove Unified,67314,3432572,Elk Grove High,127,63.2204724409,0.53358802929
50,Salinas Union High,66159,2730109,Alisal High,393,35.3740458015,0.845149851011
51,Santa Paula Union High,72595,5635776,Santa Paula High,186,54.6774193548,0.691237192231
52,Hanford Joint Union High,63925,118919,Sierra Pacific High,151,41.6622516556,0.41235459286
53,Azusa Unified,64279,1933449,Gladstone High,160,50.925,0.461583577713
54,South Monterey County Joint Union High,66068,2732170,King City High,76,51.3552631579,0.708883025506
55,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,50,14.0,0.797459584296
56,North Monterey County Unified,73825,2730125,North Monterey County Ctr,12,17.0,0.638313875535
57,Escalon Unified,68502,3932308,Escalon High,76,47.3552631579,0.38561479177
58,Fontana Unified,67710,3633302,Fontana High,167,41.9700598802,0.767511394713
59,Hayward Unified,61192,135319,Mt. Eden High,137,43.3357664234,0.805712270804
60,Brawley Union High,63081,1331354,"Desert Valley High, Cont.",25,24.0,0.697323900338
61,Alvord Unified,66977,3334299,Norte Vista High,174,49.9712643678,0.641564318035
62,Oakland Unified,61259,112797,Coliseum College Prep Academy,52,21.1923076923,0.78
63,Elk Grove Unified,67314,116897,Cosumnes Oaks High,142,65.3098591549,0.635654169855
64,Anaheim Union High,66431,3033115,John F. Kennedy High,246,71.2032520325,0.620361429163
65,Fullerton Joint Union High,66514,3037348,Sunny Hills High,218,77.3899082569,0.634521880065
66,Banning Unified,66985,3330214,Banning High,45,37.8222222222,0.449500318945
67,Corona-Norco Unified,67033,110759,John F. Kennedy High,56,73.5357142857,0.521374277896
68,San Juan Unified,67447,3436714,Rio Americano High,81,67.9012345679,0.613832853026
69,San Juan Unified,67447,3431111,Casa Roble Fundamental High,56,51.8214285714,0.442007644589
70,Simi Valley Unified,72603,5630322,Santa Susana High,98,75.7857142857,0.510060259422
71,Pittsburg Unified,61788,735407,Pittsburg Senior High,182,41.0549450549,0.811901646119
72,San Mateo Union High,69047,4133070,Hillsdale High,126,55.1746031746,0.779979830754
73,Sequoia Union High,69062,4130993,Carlmont High,119,70.9075630252,0.798728472558
74,Oak Park Unified,73874,5630132,Oak Park High,40,92.525,0.679618001047
75,Salinas Union High,66159,2730166,Everett Alvarez High,458,51.231441048,0.766725159026
76,Natomas Unified,75283,3430584,Natomas High,66,57.6818181818,0.638572425017
77,South Monterey County Joint Union High,66068,2730174,Greenfield High,68,42.3529411765,0.578772189349
78,Jefferson Union High,68924,4135075,Oceana High,61,58.3278688525,0.814388961892
79,Elk Grove Unified,67314,3430592,Laguna Creek High,112,59.0,0.669520992267
80,San Diego Unified,68338,3733698,Madison High,70,55.8571428571,0.604657849339
81,Stanislaus County Office of Education,10504,5030085,John B. Allard,23,4.69565217391,0.616432613708
82,San Diego Unified,68338,3735750,Point Loma High,141,65.9503546099,0.687368103708
83,Sweetwater Union High,68411,3730124,Southwest Senior High,234,47.5128205128,0.653173965448
84,Brawley Union High,63081,1331404,Brawley High,294,60.1224489796,0.697323900338
85,Soledad Unified,75440,2730190,Soledad High,68,39.8088235294,0.819921302369
86,East Side Union High,69427,4330361,Apollo High,11,18.0,0.796362220492
87,Elk Grove Unified,67314,108753,Pleasant Grove High,171,71.8187134503,0.53358802929
88,Kern Union High,63529,1530385,Ridgeview High,233,46.8197424893,0.441355674029
89,Vista Unified,68452,3730728,Rancho Buena Vista High,263,56.5779467681,0.523737297133
90,Placer Union High,66894,3135704,Placer High,56,67.9464285714,0.466746794872
91,Elk Grove Unified,67314,3430618,Sheldon High,109,54.0,0.599445599446
92,Placer Union High,66894,3132453,Del Oro High,99,87.6262626263,0.406476190476
93,Patterson Joint Unified,71217,5036256,Patterson High,161,46.0931677019,0.577589023195
94,San Jose Unified,69666,4333795,Lincoln (Abraham) High,221,54.0407239819,0.806573310314
95,Lodi Unified,68585,3930344,Independence,13,8.0,0.41589295467
96,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,34,0.0,0.524216204068
97,East Side Union High,69427,4337903,Silver Creek High,195,42.5333333333,0.772476732629
98,Central Unified,73965,1030386,Central Unif. Alter/Opp,65,9.32307692308,0.586681844052
99,Sweetwater Union High,68411,3731155,Options Secondary,46,52.8913043478,0.754016957886
100,Mt. Diablo Unified,61754,731380,Clayton Valley High,158,53.2658227848,0.66013560674
101,San Luis Coastal Unified,68809,4034807,Morro Bay High,52,50.0576923077,0.582924435721
102,Colton Joint Unified,67686,3636131,"Slover Mountain High, Cont.",16,0.0,0.621570090359
103,Lake Elsinore Unified,75176,3332350,Elsinore High,196,59.9642857143,0.382344624781
104,Napa Valley Unified,66266,121087,American Canyon High,100,55.8,0.717882632831
105,Kern Union High,63529,1530112,Vista West Continuation,13,8.0,0.184210526316
106,Riverside Unified,67215,3334406,North (John W.) High,151,55.1655629139,0.6940433213
107,Moorpark Unified,73940,5630215,Community High,11,27.0,0.518262586377
108,Huntington Beach Union High,66548,3030145,Ocean View High,162,47.1111111111,0.540354981437
109,Tustin Unified,73643,3032109,Foothill High,289,72.446366782,0.624855443582
110,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,107,60.8411214953,0.746039824416
111,Orange Unified,66621,3035409,Orange High,144,49.8472222222,0.569069526537
112,Fullerton Joint Union High,66514,3033362,La Habra High,558,62.3870967742,0.532154474935
113,Livermore Valley Joint Unified,61200,133397,Granada High,194,71.8711340206,0.429708222812
114,Fremont Union High,69468,4331799,Cupertino High,102,64.5294117647,0.810852120749
115,Monterey County Office of Education,10272,2730265,Salinas Community,11,0.0,0.766725159026
116,Mountain View-Los Altos Union High,69609,4334728,Mountain View High,95,53.6526315789,0.829648526077
117,Santa Maria Joint Union High,69310,4231452,Delta High,34,24.0,0.43197728687
118,El Dorado Union High,61853,930081,Oak Ridge High,109,71.6972477064,0.455197962491
119,Atascadero Unified,68700,4030755,Atascadero High,82,58.3902439024,0.472904383491
120,East Side Union High,69427,4330023,Santa Teresa High,376,51.2579787234,0.723253757737
121,Riverside Unified,67215,3336492,Ramona High,148,55.777027027,0.554218787348
122,Novato Unified,65417,2132272,Novato High,86,55.9186046512,0.740899191039
123,Grossmont Union High,68130,3737905,Santana High,99,53.9595959596,0.371937452964
124,Woodland Joint Unified,72710,5738802,Woodland Senior High,134,45.7537313433,0.655936454849
125,Central Union High,63115,1333558,"Desert Oasis High, Cont.",14,7.0,0.660288270378
126,Fullerton Joint Union High,66514,3037496,Troy High,280,78.2,0.591143294806
127,Riverside Unified,67215,3330362,Summit View Ind. Stdy.,28,11.0,0.55196454629
128,Poway Unified,68296,3735867,Poway High,145,71.9448275862,0.473045822102
129,South San Francisco Unified,69070,4137279,South San Francisco High,178,56.9887640449,0.823785517874
130,Temecula Valley Unified,75192,3330370,Temecula Valley High,339,60.8230088496,0.408742194469
131,Ventura Unified,72652,5630348,Foothill Technology High,106,90.4056603774,0.640656361139
132,Hesperia Unified,75044,119115,Oak Hills High,232,48.2844827586,0.291064388962
133,San Jose Unified,69666,4335949,Pioneer High,166,69.2168674699,0.722009598445
134,Upland Unified,75069,3637584,Upland High,439,60.1366742597,0.610185756392
135,Stanislaus County Office of Education,10504,5030226,Petersen Alternative Center f,28,0.0,0.504190412337
136,Desert Sands Unified,67058,3330388,Palm Desert High,108,74.3055555556,0.505620848237
137,Ventura Unified,72652,5630298,El Camino High,28,79.0,0.733727810651
138,Galt Joint Union High,67355,119131,Liberty Ranch High,100,62.88,0.473642263464
139,Moreno Valley Unified,67124,3330396,Canyon Springs High,200,51.335,0.601864262215
140,Capistrano Unified,66464,113381,San Juan Hills High,129,76.9147286822,0.43391730904
141,Fontana Unified,67710,3630480,Citrus High (Continuation),12,8.0,0.767511394713
142,Clovis Unified,62117,1030501,Buchanan High,213,66.2018779343,0.398396767466
143,San Diego Unified,68338,3737962,Garfield High,12,8.0,0.703490464196
144,Jurupa Unified,67090,3330412,Jurupa Valley High,166,41.686746988,0.58273381295
145,Castro Valley Unified,61150,135533,Redwood Continuation High,13,0.0,0.748513127992
146,El Dorado Union High,61853,936302,Ponderosa High,97,62.9072164948,0.378048780488
147,Tustin Unified,73643,3037553,Tustin High,187,59.5240641711,0.624855443582
148,Pierce Joint Unified,61614,635250,Pierce High,11,55.0,0.428927680798
149,Waterford Unified,75572,5030259,Waterford High,32,56.25,0.505358150028
150,San Leandro Unified,61291,137588,San Leandro High,192,40.9947916667,0.737482842991
151,Madera Unified,65243,110965,Madera South High,146,48.6506849315,0.589822329458
152,Morgan Hill Unified,69583,4333951,Live Oak High,167,61.125748503,0.62508259548
153,Selma Unified,62430,1036672,Selma High,158,65.6898734177,0.409964736662
154,Kern Union High,63529,1532290,East Bakersfield High,168,50.0476190476,0.288645690834
155,Scotts Valley Unified,75432,4430211,Scotts Valley High,47,82.8085106383,0.715371868603
156,Moreno Valley Unified,67124,3330438,Valley View High,209,45.4401913876,0.546990496304
157,Sweetwater Union High,68411,3731064,Chula Vista Senior High,415,50.7060240964,0.754016957886
158,Turlock Unified,75739,5030283,Pitman (John H.) High,179,60.9217877095,0.434776749618
159,Kern Union High,63529,1530252,Arvin High,102,35.2058823529,0.645581395349
160,Corona-Norco Unified,67033,3330446,Centennial High,337,63.6083086053,0.432162875041
161,Salinas Union High,66159,2734481,Mt. Toro High,17,6.0,0.766725159026
162,Kern Union High,63529,110999,Frontier High,296,55.5168918919,0.413674372848
163,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",72,12.6388888889,0.740069892208
164,Sequoia Union High,69062,4138053,Woodside High,159,67.7987421384,0.786446020489
165,Ramona City Unified,68304,3735974,Ramona High,105,60.1714285714,0.315043052507
166,East Side Union High,69427,4333639,Lick (James) High,114,39.298245614,0.790654620853
167,Washington Unified,72694,5735154,River City Senior High,115,48.4869565217,0.782843431314
168,Carmel Unified,65987,2730414,Carmel High,55,69.1090909091,0.679044744784
169,Beaumont Unified,66993,3330479,Beaumont Senior High,219,57.2237442922,0.465511092089
170,Merced Union High,65789,2439602,"Yosemite High, Cont.",11,9.0,0.541278550466
171,Twin Rivers Unified,76505,3436979,Rio Linda High,78,39.6666666667,0.671213208902
172,Oxnard Union High,72546,5630389,Pacifica,393,58.1195928753,0.647087467283
173,Lake Elsinore Unified,75176,3330487,Temescal Canyon High,189,54.6984126984,0.453914327917
174,Wasco Union High,63859,1536440,Wasco High,127,55.0,0.391639871383
175,Garden Grove Unified,66522,3035581,Pacifica High,178,58.1966292135,0.475728758779
176,Temecula Valley Unified,75192,3330495,Rancho Vista High,35,14.0,0.408742194469
177,Sweetwater Union High,68411,3733953,Mar Vista Senior High,160,55.63125,0.669663669664
178,Marysville Joint Unified,72736,5835202,Marysville High,23,38.7391304348,0.226726726727
179,Kern County Office of Education,10157,1530310,Kern County Community,28,7.46428571429,0.42465976693
180,Hemet Unified,67082,3330503,Helen Hunt Jackson Alternativ,13,23.0,0.467771639042
181,Riverside Unified,67215,3330511,Opportunity Program,13,8.0,0.55196454629
182,Sacramento City Unified,67439,3430865,West Campus,79,89.835443038,0.797459584296
183,Santa Cruz City High,69823,4432340,Harbor High,83,43.5421686747,0.838548185232
184,Tustin Unified,73643,102871,Arnold O. Beckman High,152,69.5460526316,0.624855443582
185,Elk Grove Unified,67314,3430873,Franklin High,221,59.3031674208,0.635654169855
186,West Contra Costa Unified,61796,733659,Kennedy High,27,14.6666666667,0.886746643816
187,Salinas Union High,66159,2734556,Salinas High,418,50.3851674641,0.752533507682
188,San Ramon Valley Unified,61804,113118,Dougherty Valley High,73,83.3835616438,0.711773832098
189,Murrieta Valley Unified,75200,3330529,Murrieta Valley High,247,70.6923076923,0.551023137622
190,Central Unified,73965,1030626,Central High East Campus,363,50.1267217631,0.586681844052
191,Kern Union High,63529,1530344,Stockdale High,270,60.9111111111,0.815833333333
192,Hemet Unified,67082,3330537,West Valley High,66,56.1818181818,0.410739052903
193,Garden Grove Unified,66522,3033578,La Quinta High,41,55.9024390244,0.601399900892
194,Stockton Unified,68676,3932654,Franklin High,157,34.2993630573,0.546288209607
195,Oxnard Union High,72546,5634548,Oxnard High,468,58.5384615385,0.647087467283
196,Azusa Unified,64279,1931765,Sierra High,28,7.0,0.461583577713
197,Val Verde Unified,75242,3330552,Rancho Verde High,250,55.848,0.553964887475
198,Fortuna Union High,62810,1233402,Fortuna Union High,35,54.0,0.516473887136
199,Mt. Diablo Unified,61754,731646,College Park High,136,59.625,0.706974540128
